Place,Venues,Repertory
"Detroit, MI, USA","Memorial Building, University of Detroit; Music Hall; Detroit Institute of Arts; Music Hall Center; Scottish Rite Cathedral; Fisher Theatre; Masonic Temple Theater; Music Hall Center for the Performing Arts",Blueshift; The Still Point; To Jose Clemente Orozco; Spectrum; Concerto in F; Countdown; Fanga; Landscape; Choral Dances; Cry; Night Shade; Myth; Anjour: Ruminations on Dudley; Icarus; Echoes in Blue; Toccata; Tilt; Feast of Ashes; The Wedding; Masekela Langage; Gillespiana; Blood Burning Moon; Gazelle; Night Creature; Opus McShann; The River; The Road of the Phoebe Snow; Flowers; Vespers; Quintet; The Stack-Up; Precipice; Survivors; Journey; Love Songs; Suite Otis; Later That Day; Seven Journeys; Rainbow 'Round My Shoulder; Butterfly; Revelations; Sonnets; After Eden; Hidden Rites; Fever Swamp; Hobo Sapiens; Coverage II; Bad Blood; Hermit Songs; The Black Belt; Divining; Research; The Time Before the Time After (After the Time Before); Treading; Crossword; Streams; Witness; Caverna Magica; Dance for Six; For 'Bird' - With Love; Speeds; Collage; The Lark Ascending; Light; Inside; Satyriade; Lullaby for a Jazz Baby; Fontessa and Friends; Isba; From the Mountains of Taubalu; How to Walk an Elephant; Facets; Ancestral Voices; Liberian Suite; Memoria; Portrait of Billie; Songs Without Words; Blues Suite; Reflections in D; Pigs and Fishes; Tell It Like It Is; Blood Memories; Shards; Carmina Burana; Phases; Les Noces
"Donetsk, Ukraine, U.S.S.R.",State Theater of Opera and Ballet,Poeme; Toccata; Dance for Six; Journey; Congo Tango Palace; Blues Suite; Reflections in D; Masekela Langage; Streams; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Dubrovnik, Socialist Federal Republic of Yugoslavia",Revscin Fortress; Fort Revelin Terrace,Toccata; Credo; Journey; Cry; Congo Tango Palace; Blues Suite; Rainbow 'Round My Shoulder; Reflections in D; The Prodigal Prince; Untitled New York; Revelations; Metallics; Icarus
"Dubuque, IA, USA","Terrence Donaghoe Hall, Clark College",The Road of the Phoebe Snow; Blues Suite; Revelations
"Durham, NC, USA","Memorial Hall, University of North Carolina at Chapel Hill; Page Auditorium, Duke University; B.N. Duke Auditorium, North Carolina College at Durham; Duke University, Page Auditorium",Light; Flowers; Bad Blood; Quintet; Vespers; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Reflections in D; Streams; Myth; Butterfly; Gillespiana; District Storyville; The Lark Ascending; Revelations; Night Creature
"Dusseldorf, Germany",Schauspielhaus,Come and Get the Beauty of It Hot; Blues Suite; Reflections in D; Revelations; The Road of the Phoebe Snow
"East Brunswick, NJ, USA",East Brunswick High School,
"East Hampton, NY, USA",Guild Hall; East Hampton High School Auditorium,Cry; Blues Suite; Rainbow 'Round My Shoulder; After Eden; Revelations; Night Creature
"East Lansing, MI, USA","Fairchild Auditorium, Michigan State University; Fairchild Theatre, Michigan State University; Fairchild Theatre; University Auditorium, Michigan State University; Cobb Great Hall, Wharton Center for the Performing Arts, Michigan State University; [High School]; Wharton Center for the Performing Arts, Michigan State University",Suspension; The Road of the Phoebe Snow; Gazelle; Countdown; Fever Swamp; Landscape; Memoria; Hobo Sapiens; Time Out of Mind; Coverage II; The Prodigal Prince; Hermit Songs; The Stack-Up; Choral Dances; Divining; Portrait of Billie; How Long Have It Been; Suite Otis; Treading; Cry; Blues Suite; Pigs and Fishes; Crossword; Streams; Choros; Blood Memories; Nocturne; Dance for Six; For 'Bird' - With Love; Carmina Burana; Phases; Rainbow 'Round My Shoulder; The Wedding; Speeds; Masekela Langage; Revelations; The Lark Ascending; Night Creature; Sonnets
"East Meadow, NY, USA","Lakeside Theater, Eisenhower Park",
"Eau Claire, WI, USA","Eau Claire University Arena, Wisconsin State University",Quintet; Masekela Langage; Revelations
"Edinburgh, Scotland",Church Hill Theatre,The Black Belt; Toccata; Credo; Journey; Congo Tango Palace; Knoxville: Summer of 1915; Reflections in D; The Prodigal Prince; Revelations; Quintet; Metallics; Icarus
"Ein Hashofet, Israel",,Toccata; Blues Suite; Reflections in D; The Prodigal Prince; Revelations
"Eindhoven, Netherlands",Stadsschouwburg,The Black Belt; Toccata; Credo; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; Metallics; The Road of the Phoebe Snow
"El Cajon, CA, USA","College Gym, Grossmont College",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"Elgin, IL, USA",Larkin High School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Elkins, WV, USA",Davis and Elkins College,
"Elmira, NY, USA",The Clemens Center; Samuel Clemens Center; Samuel L Clemens Performing Arts Center,Love Songs; Suite Otis; Cry; Treading; Flowers; Blues Suite; Rainbow 'Round My Shoulder; Bad Blood; Streams; Hermit Songs; Revelations; Fire Sermon; Tell It Like It Is; Gazelle; Night Creature
"Evansville, IN, USA",Vanderburgh Auditorium,Toccata; Congo Tango Palace; Reflections in D; Revelations; Icarus
"Everett, WA, USA",Everett Civic Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Fairfield, IA, USA","Frey-Thomas Memorial Fieldhouse, Parsons College Festival, Parsons College; Fry-Thomas Fieldhouse, Parsons College",Cinco Latinos; Toccata; Been Here and Gone; Gillespiana; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Farmville, VA, USA","Jarman Hall, Longwood College",Quintet; Blues Suite; Revelations
"Faro, Portugal",Teatro Santo Antonio,Toccata; Lament; Blues Suite; Reflections in D; Revelations
"Flint, MI, USA",Whiting Auditorium,
"Florence, Italy",Teatro della Pergola,Gillespiana; Lament; Congo Tango Palace; Blues Suite; Reflections in D; Hermit Songs; Revelations; The Road of the Phoebe Snow; Rooms
"Fort Collins, CO, USA","Student Center Theater, Colorado State University Fort Collins; Colorado State University",Missa Brevis; Dance for Six; Cry; Rainbow 'Round My Shoulder; Kinetic Molpai; Revelations; The Lark Ascending
"Fort Wayne, IN, USA",Fort Wayne Community Concerts,Toccata; Blues Suite; Reflections in D; Revelations; Metallics
"Fort Worth, TX, USA",Tarrant County Convention Center Theater; Tarrant County Convention Center,Divining; Concerto in F; Songs Without Words; Cry; Treading; Suite Otis; To Jose Clemente Orozco; Blues Suite; Rainbow 'Round My Shoulder; Speeds; Memoria; Satyriade; Streams; Revelations; The Stack-Up
"Frankfort, KY, USA","Bell Health and Physical Education Building, Kentucky State College; Bradford Hall, Kentucky State University",Dance for Six; Blues Suite; Revelations
"Frankfurt, Germany",Stadtische Bühnen Oper; Jahrhunderthalle; Alte Oper,Caverna Magica; Divining; Love Songs; Come and Get the Beauty of It Hot; Cry; Treading; Sarong Paramaribo; Suite Otis; Night Shade; Rainbow 'Round My Shoulder; Revelations; Vespers; The Stack-Up; Night Creature; Fontessa and Friends
"Fredonia, NY, USA","Old Main Auditorium, State University at Fredonia, NY; Fredonia State College",Toccata; Journey; Congo Tango Palace; Blues Suite; Reflections in D; Quintet; Metallics; Revelations; The Road of the Phoebe Snow; Icarus
"Freeport, NY, USA",Freeport High School,Reflections in D; Blues Suite; Revelations
"Friedrichshafen, West Germany",Gref Zepplin Haus; Graf Zepplin Haus,Caverna Magica; Concerto in F; Cry; Treading; Blues Suite; Speeds; Streams; The Magic of Katherine Dunham; Revelations; The Stack-Up
"Fukuoka, Japan",Fukuoka Sun Palace Hall,Isba; For 'Bird' - With Love; Suite Otis; Cry; Treading; Blues Suite; Revelations; The Stack-Up
"Galveston, TX, USA",Moody Civic Center,Hermit Songs; Blues Suite; Icarus; Revelations
"Garden City, NY, USA","Macy's Special Events Center, Roosevelt Field",
"Geneseo, NY, USA",Wadsworth Auditorium,Toccata; Lament; Blues Suite; Revelations; The Beloved
"Geneva, Switzerland",Grand Casino Genève; Grand Casino de Geneve; Theatre de la Comedie,Congo Tango Palace; The Road of the Phoebe Snow; Bad Blood; The Stack-Up; Divining; Portrait of Billie; Suite Otis; Treading; Cry; Lament; Blues Suite; Reflections in D; The Magic of Katherine Dunham; Caverna Magica; For 'Bird' - With Love; Speeds; Revelations; The Lark Ascending; Night Creature
"Genoa, Italy",Teatro Margherita,Congo Tango Palace; Lament; Blues Suite; Reflections in D; Revelations
"Gent, Belgium",Opera House,Tilt; Love Songs; Suite Otis; Cry; Masekela Langage; Butterfly; Revelations; District Storyville
"George Town, Penang, Malaysia",Penang Chinese Girls' High School,Mountainway Chant; Been Here and Gone; Gillespiana; Roots of the Blues; Revelations; The Beloved
"Gettysburg, PA, USA","Student Union Building Auditorium, Gettysburg College",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Ghent, Belgium",Koninklijke Opera,Carmina Burana; Love Songs; Cry; The Mooche; Streams; Revelations; Night Creature
"Giza, Egypt",Sphinx Theater,Facets; The Wait; Cry; Blues Suite; Rainbow 'Round My Shoulder; Streams; Revelations; The Lark Ascending; The Road of the Phoebe Snow; Night Creature
"Glassboro, NJ, USA","Glassboro State College; Wilson Concert Hall, Glassboro State College",Missa Brevis; Nocturne; Portrait of Billie; How Long Have It Been; Fanga; Rainbow 'Round My Shoulder; The Wedding; Revelations; The Lark Ascending
"Gothenburg, Sweden",,Portrait of Billie; Concerto in F; Cry; Treading; Revelations; The Stack-Up; Night Creature
"Grambling, LA, USA","T.H. Harris Auditorium, Grambling State University",Blues Suite; Night Creature; After Eden; Revelations
"Grand Rapids, MI, USA",Godwin Heights High School Auditorium,Liberian Suite; Cry; Reflections in D; Streams; Hidden Rites; Revelations; Hermit Songs; The Lark Ascending; Night Creature; Echoes in Blue
"Graz, Austria",Opera House,Cry; Divining; Revelations; Suite Otis
"Great Neck, NY, USA",Great Neck High School; Great Neck North Senior High School; South High School,Cinco Latinos; Toccata; Been Here and Gone; Roots of the Blues; Blues Suite; Reflections in D; Revelations; Metallics; The Beloved
"Greensboro, NC, USA","Ayock Auditorium, University of North Carolina at Greensboro; Harrison Auditorium, A&T College of North Carolina; Aycock Hall, University of North Carolina at Greensboro; Aycock Auditorium, University of North Carolina at Greensboro",Poeme; Divining; Dance for Six; Survivors; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Blues Suite; Rainbow 'Round My Shoulder; Metallics; The Prodigal Prince; Revelations; Quintet; Vespers; The Lark Ascending; The Road of the Phoebe Snow; Night Creature
"Greenvale, NY, USA","Concert Theater, C.W. Post College",Divining; Isba; Suite Otis; Cry; Treading; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Greenwich, CT, USA",Greenwich High School,Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending
"Grinnell, IA, USA","Roberts Theatre, Grinnell College",Dance for Six; Icarus; Revelations
"Groningen, Netherlands",Stadsschouwburg,Toccata; Journey; Lament; Congo Tango Palace; Reflections in D; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Hackensack, NJ, USA","Orrie de Nooyer Auditorium, Bergen County Vocational - Technical High School",Feast of Ashes; Love Songs; Cry; Blues Suite; The Wedding; Streams; Revelations; Choros
"Halifax, Nova Scotia, Canada","Dalhousie Arts Center, Dalhousie University",Divining; From the Mountains of Taubalu; Shards; Suite Otis; Cry; Blues Suite; Revelations; The Stack-Up
"Hamburg, Germany",Deutschen Schauspielhaus Hamburg,Toccata; Come and Get the Beauty of It Hot; Gillespiana; Congo Tango Palace; Blues Suite; Reflections in D; Hermit Songs; Revelations; The Road of the Phoebe Snow; Rooms
"Hamilton, Bermuda",City Hall Theatre,Dance for Six; Cry; Blues Suite; Revelations; Icarus
"Hamilton, NY, USA","Dana Art Center, Colgate University",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Hammamet, Tunisia","Theatre de plein air, Centre Culturel International",The Prodigal Prince; Streams; Revelations
"Hampton, VA, USA","Ogden Hall, Hampton University",Dance for Six; Blues Suite; Revelations
"Hannover, Germany",Theater am AEGI Aegidientorplatz,Toccata; Lament; Blues Suite; Reflections in D; Revelations
"Hanover, NH, USA","Spaulding Auditorium, Dartmouth College; Hopkins Center, Dartmouth College",The Black Belt; Blues Suite; Revelations
"Harrisonburg, VA, USA","Wilson Auditorium, Madison College",Poeme; Toccata; Journey; Revelations; Metallics; Icarus
"Hartford, CT, USA",Bushnell Memorial Auditorium; Hartford Jewish Community Center; Bushnell Memorial Hall; Bushnell Auditorium; Bushnell Memorial,Congo Tango Palace; The Lark Ascending; Fontessa and Friends; Spectrum; Concerto in F; Gazelle; Flowers; Landscape; Hobo Sapiens; Time Out of Mind; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Mary Lou's Mass; Divining; Survivors; Journey; Suite Otis; Treading; Cry; The Time Before the Time After (After the Time Before); Blues Suite; Reflections in D; Pigs and Fishes; Streams; Myth; Caverna Magica; Toccata; Rainbow 'Round My Shoulder; Speeds; Masekela Langage; Butterfly; Revelations; Sonnets; Night Creature
"Hayward, CA, USA",Chabot Community College Auditorium,Toccata; Congo Tango Palace; Reflections in D; Threnody; The Road of the Phoebe Snow
"Helsinki, Finland",Kulturhuset; Svenska Teatern; Kultuuritalo,Toccata; Love Songs; Suite Otis; Cry; The Time Before the Time After (After the Time Before); Congo Tango Palace; Blues Suite; Reflections in D; Sunrise... Sunset; Streams; Butterfly; Revelations; Gazelle; The Road of the Phoebe Snow; Night Creature
"Hempstead, NY, USA",Hofstra College; Hofstra Playhouse,Gillespiana; Light; Blues Suite; Reflections in D; Hermit Songs; Revelations
"Heraklion, Greece",N. Kazantzakis Theater,Seven Journeys; Concerto in F; Cry; Treading; Blues Suite; Fever Swamp; Memoria; Pigs and Fishes; Satyriade; Streams; Revelations; The Stack-Up; Night Creature; Fontessa and Friends
"Hershey, PA, USA",Hershey Theatre,Concerto in F; Phases; Cry; Treading; Blues Suite; The Lark Ascending; Landscape; Pigs and Fishes; Streams; Revelations; Sonnets; Night Creature
"Highland Park, IL, USA",Highland Park High School,Toccata; Journey; Blues Suite; Revelations; Icarus
"Hiroshima, Japan",Hiroshima Yubin Chokin Hall; Hiroshima Kosei Nenkin Kaikan,Isba; For 'Bird' - With Love; Cry; Blues Suite; Revelations; The Stack-Up
"Hoffman Estates, IL, USA",Poplar Creek Music Theatre,Memoria; Concerto in F; Revelations
"Holmdel, NJ, USA",Garden State Arts Center,Dance for Six; Cry; Flowers; Blues Suite; Revelations; Choral Dances
Hong Kong,"Hong Kong Coliseum; Concert Hall, City Hall; Hong Kong City Hall Concert Hall; City Hall",The Road of the Phoebe Snow; Fontessa and Friends; Been Here and Gone; Spectrum; Concerto in F; Mountainway Chant; Gazelle; Facets; The Wait; Memoria; Hermit Songs; The Stack-Up; Divining; Love Songs; Letter to a Lady; Treading; Roots of the Blues; Cry; Suite Otis; Blues Suite; Pigs and Fishes; Streams; Phases; Rainbow 'Round My Shoulder; Speeds; Gillespiana; Sonnets; Revelations; Night Creature; The Beloved
"Honolulu, HI, USA","Blaisdell Center; Neal S. Blaisdell Concert Hall; Waikiki Shell, Kapiolani Park",The River; Inside; Fontessa and Friends; Isba; Concerto in F; Fever Swamp; The Stack-Up; Divining; Love Songs; Suite Otis; Treading; Cry; Blues Suite; Night Shade; Pigs and Fishes; Streams; Phases; Speeds; Revelations; Night Creature
"Houston, TX, USA",Jesse H. Jones Hall; Music Hall; Jones Hall; Jesse H. Jones Hall for the Performing Arts,The Still Point; The River; Suspension; Congo Tango Palace; The Road of the Phoebe Snow; Fontessa and Friends; Places; Isba; Facets; Concerto in F; Gazelle; Flowers; Fanga; Landscape; Memoria; Hobo Sapiens; Time Out of Mind; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Choral Dances; Divining; Portrait of Billie; Survivors; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; The Time Before the Time After (After the Time Before); Night Shade; Blues Suite; Crossword; Streams; Blood Memories; Caverna Magica; Toccata; Seven Journeys; Dance for Six; For 'Bird' - With Love; Carmina Burana; Phases; Rainbow 'Round My Shoulder; Speeds; Collage; Masekela Langage; Butterfly; Revelations; The Lark Ascending; Caravan; Night Creature
"Huntingdon, PA, USA",Juniata College,
"Indiana, PA, USA","Fisher Auditorium, Indiana University of Pennsylvania",Toccata; Journey; Blues Suite; Revelations; Icarus
"Indianapolis, IN, USA","Clowes Hall, Butler University",Suite Otis; Cry; The Time Before the Time After (After the Time Before); Blues Suite; Rainbow 'Round My Shoulder; The Lark Ascending; Hobo Sapiens; Revelations; Gazelle; Caravan; Night Creature
"Institute, WV, USA","College Auditorium, West Virginia University Institute of Technology",Reflections in D; Quintet; Congo Tango Palace; Revelations
"Iowa City, IA, USA","Hancher Auditorium, The University of Iowa; McKinley Junior High; University of Iowa; Hancher Auditorium, University of Iowa",Congo Tango Palace; Flowers; Bad Blood; The Stack-Up; Mary Lou's Mass; Divining; Love Songs; The Time Before the Time After (After the Time Before); Cry; Suite Otis; Blues Suite; Reflections in D; Choros; Caverna Magica; Toccata; Dance for Six; For 'Bird' - With Love; Rainbow 'Round My Shoulder; Masekela Langage; Butterfly; Revelations; Gazelle; Night Creature
"Ipoh, Malaysia",Lido Theatre,Been Here and Gone; Gillespiana; Roots of the Blues; Revelations; The Beloved; Trane' in Three
"Irvine, CA, USA",University of California Irvine,Blues Suite; The Prodigal Prince; Revelations; Metallics; The Road of the Phoebe Snow
"Istanbul, Turkey",Open Air theatre,Facets; Love Songs; Cry; Blues Suite; Rainbow 'Round My Shoulder; Streams; Revelations; Gazelle; Night Creature
"Jackson, MI, USA",Parkside High School Fieldhouse; Jackson High School Auditorium,Dance for Six; Blues Suite; Streams; Hermit Songs; Myth; Revelations
"Jackson, MS, USA",Jackson State College Dansby Hall Auditorium,Light; Blues Suite; Reflections in D; Gillespiana; Revelations
"Jakarta, Indonesia",Gedung Olahraga (sport center),Cinco Latinos; Been Here and Gone; Letter to a Lady; Gillespiana; Roots of the Blues; Creation of the World; Hermit Songs; Revelations; The Beloved
"Jamestown, NY, USA",Jamestown Community College,Toccata; Journey; Quintet; Revelations; Icarus
"Jerusalem, Israel",Bin Yane Haooma; Binyanei Ha'ooma; Sultan's Pool,Divining; Toccata; Love Songs; Suite Otis; Cry; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; The Stack-Up
"Johnson, VT, USA","Dibden Auditorium, Johnson State University",Cry; The Lark Ascending; The Wedding; Revelations
"Kalamazoo, MI, USA","Miller Auditorium, Western Michigan University",Cry; Blues Suite; Rainbow 'Round My Shoulder; Revelations
"Kampala, Uganda",Uganda National Culture Centre,Toccata; Lament; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; Metallics; The Road of the Phoebe Snow
"Kansas City, KS, USA",Music Hall,Liberian Suite; Love Songs; Cry; After Eden; Hidden Rites; Revelations; The Lark Ascending; Night Creature
"Kansas City, MO, USA","The Lyric Theatre; Westport High School; White Recital Hall, Center for the Performing Arts, University of Missouri-Kansas; Starlight Theatre; Music Hall; Capri Theater; Little Theater, General Education Building, Johnson County Community College; Capri Theater, William Jewell College; Folly Theater; Lyric Theater",The Still Point; The River; Suspension; Adagio for a Dead Soldier; Fontessa and Friends; Isba; How to Walk an Elephant; Concerto in F; Spectrum; Flowers; Memoria; Time Out of Mind; Bad Blood; Hermit Songs; Vespers; The Stack-Up; Choral Dances; Mary Lou's Mass; Divining; Portrait of Billie; Survivors; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Blues Suite; Tell It Like It Is; Streams; Myth; Witness; Choros; Anjour: Ruminations on Dudley; Caverna Magica; Dance for Six; For 'Bird' - With Love; Phases; Shards; Rainbow 'Round My Shoulder; Speeds; Collage; Masekela Langage; Revelations; The Lark Ascending; Night Creature; Opus McShann
"Kaohsiung, Taiwan",Kaohsiung Municipal Stadium,Been Here and Gone; Gillespiana; Roots of the Blues; Revelations; The Beloved; Trane' in Three
"Karlovci, Socialist Federal Republic of Yugoslavia",,Toccata; Congo Tango Palace; Reflections in D; Metallics; The Beloved
"Kawasaki, Kanagawa, Japan",Kawasaki Shimin Kaikan,Been Here and Gone; Mountainway Chant; Letter to a Lady; Gillespiana; Roots of the Blues; Revelations
"Kent, CT, USA",Miller Auditorium,Toccata; Dance for Six; Journey; Revelations; Icarus
"Kent, OH, USA","University Auditorium, Kent State University",Light; Blues Suite; Reflections in D; Gillespiana; Revelations
"Kiev, Ukraine, U.S.S.R.",The New Palace of Culture,Poeme; Toccata; Dance for Six; Journey; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Streams; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Kingston, RI, USA","Edwards Auditorium, The University of Rhode Island",Toccata; Dance for Six; Journey; Revelations; Icarus
"Kinshasa, Democratic Republic of Congo",Salle des Spectacles du Zoo,The Prodigal Prince; Blues Suite; Revelations
"Kirksville, MO, USA","College Auditorium, Northeast Missouri State College",Blues Suite; Streams; Revelations
"Kobe, Japan",Kobe Bunka Hall,Isba; Facets; Love Songs; Suite Otis; Cry; Treading; The Stack-Up; Memoria; Inside; Revelations; The Lark Ascending; The Road of the Phoebe Snow
"Kuala Lumpur, Malaysia",Town Hall,Been Here and Gone; Mountainway Chant; Gillespiana; Roots of the Blues; Revelations; The Beloved
"Kumasi, Ghana",Prempeh Assembly Hall,
"Kutztown, PA, USA","Schaeffer Auditorium, Kutztown State College",Congo Tango Palace; Blues Suite; Revelations
"Kyoto, Japan",Kyoto Kaikan Dai-Ichi Hall; Kyoto Kaiken,After Eden; Fontessa and Friends; Been Here and Gone; Mountainway Chant; Facets; The Wait; Fever Swamp; The Stack-Up; Love Songs; Letter to a Lady; Treading; Roots of the Blues; Songs Without Words; Suite Otis; Blues Suite; Pigs and Fishes; Streams; Masekela Langage; Gillespiana; Revelations; Night Creature
"La Crosse, WI, USA","Coleman Technical Institute Auditorium, Wisconsin State University",Blues Suite; Revelations
"LaSalle, IL, USA",Mathieson School Auditorium,Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations
"Lafayette, IN, USA","Elliot Hall, Purdue University; Purdue Memorial Union, Purdue University",Toccata; Journey; Cry; Blues Suite; Clear Songs After Rain; The Prodigal Prince; Streams; Revelations; Icarus; The Lark Ascending; Mary Lou's Mass
"Lancaster, PA, USA",Lancaster High School Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
"Lausanne, Switzerland",Au Theatre de Beaulieu,Divining; Suite Otis; Cry; Treading; Revelations; Vespers; Night Creature
"Lawrence, KS, USA","Hoch Auditorium, University of Kansas",Divining; Suite Otis; Cry; Blues Suite; Fever Swamp; Pigs and Fishes; Revelations; Fontessa and Friends
"Lee, MA, USA",Jacob's Pillow,Cinco Latinos; Letter to a Lady; To Jose Clemente Orozco; Roots of the Blues; Gillespiana; Blues Suite; Revelations
"Leiden, Netherlands",Stadsgehoorzaal,Toccata; Blues Suite; Reflections in D; Revelations; Metallics; The Road of the Phoebe Snow
"Leiria, Portugal",Teatro Jose Lucio Da Silva,
"Leningrad, Russia, U.S.S.R.",The Vyborgskiy House of Culture,Poeme; Toccata; Dance for Six; Journey; Blues Suite; Reflections in D; Masekela Langage; The Prodigal Prince; Streams; Revelations; Metallics; The Road of the Phoebe Snow; Icarus
"Leverkusen, West Germany",Beyer Forum; Forum,Divining; For 'Bird' - With Love; Concerto in F; Suite Otis; Cry; Treading; Fever Swamp; Pigs and Fishes; The Magic of Katherine Dunham; Revelations; Night Creature
"Lewisburg, PA, USA","Bucknell University, The Sigmund and Claire Weis Center for the Performing Arts; University Theater, Bucknell University",Revelations; Blues Suite; Love Songs; Suite Otis
"Lewiston, NY, USA",Artpark,Congo Tango Palace; The Road of the Phoebe Snow; Fontessa and Friends; Isba; Gazelle; Fever Swamp; Landscape; Memoria; Hobo Sapiens; Hermit Songs; Precipice; The Stack-Up; Love Songs; The Time Before the Time After (After the Time Before); Treading; Cry; Songs Without Words; Suite Otis; Blues Suite; Night Shade; Pigs and Fishes; Streams; Icarus; Toccata; Rainbow 'Round My Shoulder; Masekela Langage; Butterfly; Revelations; The Lark Ascending; Night Creature
"Liberty, MO, USA","Gano Hall, William Jewell College; John Gano Memorial Hall, William Jewell College",Toccata; Congo Tango Palace; Blues Suite; Reflections in D; Revelations; The Beloved; Icarus
"Lille, France",Le Colise Theater,Caverna Magica; Divining; Suite Otis; Treading; Cry; Blues Suite; Revelations
"Lima, Peru",Teatro Municipal,Facets; Suite Otis; Cry; Rainbow 'Round My Shoulder; Revelations; The Lark Ascending; Night Creature
"Lincoln, NE, USA","Kimball Recital Hall; Kimball Recital Hall, University of Nebraska-Lincoln; Kimbal Recital Hall, University of Nebraska-Lincoln; Kimball Hall, University of Nebraska",The River; After Eden; Fontessa and Friends; Isba; Spectrum; Concerto in F; How to Walk an Elephant; Fever Swamp; Memoria; The Stack-Up; Divining; Love Songs; Songs Without Words; Treading; Cry; Suite Otis; Blues Suite; Night Shade; Pigs and Fishes; Streams; Rainbow 'Round My Shoulder; Speeds; Revelations; Night Creature
"Lipari, Italy",Theatro al Castello,Divining; Suite Otis; Cry; Treading; Revelations
"Lisbon, Portugal",Tivoli Theatre,Toccata; Lament; Congo Tango Palace; Blues Suite; Reflections in D; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; The Beloved
"Little Rock, AR, USA",Robinson Auditorium; Robinson Center Music Hall,Divining; Love Songs; Suite Otis; Cry; Treading; The Stack-Up; Bad Blood; Revelations; The Lark Ascending; Night Creature
"Livorno, Italy",Villa Fabbricotti open air theater,Journey; Congo Tango Palace; The Prodigal Prince; Revelations; Icarus
"Ljubljana, Socialist Federal Republic of Yugoslavia",Krizanke Hall; Poletno Gledalisce Križanke (Križanke Summer Theater),Toccata; Journey; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations; Metallics; The Beloved; Icarus
"London, England",Royal Opera House; Shaftesbury Theatre; Wembly Arena; Saville Theatre; Sadler's Wells Theatre,Poeme; To Jose Clemente Orozco; Congo Tango Palace; Knoxville: Summer of 1915; Adagio for a Dead Soldier; The Cageling; Hidden Rites; The Road of the Phoebe Snow; Been Here and Gone; Gymnopedies; Concerto in F; Flowers; Nubian Lady; Child of the Earth; Clear Songs After Rain; Kinetic Molpai; Metallics; The Prodigal Prince; Hermit Songs; Choral Dances; Mary Lou's Mass; Journey; Love Songs; How Long Have It Been; Cry; Lament; Blues Suite; Reflections in D; Streams; Myth; Choros; Icarus; Toccata; Paz; Dance for Six; Variegations; Rainbow 'Round My Shoulder; Masekela Langage; Gillespiana; The Lark Ascending; Revelations; The Beloved; Rooms
"Long Beach, CA, USA",Millikan High School Auditorium,Toccata; Journey; Blues Suite; Revelations; Icarus
