Place,Venues,Repertory
"Detroit, MI, USA","Fisher Theatre; Detroit Institute of Arts; Music Hall Center for the Performing Arts; Masonic Temple Theater; Memorial Building, University of Detroit; Scottish Rite Cathedral; Music Hall; Music Hall Center",Blood Burning Moon; Icarus; The Wedding; Hidden Rites; Tilt; Research; Streams; Anjour: Ruminations on Dudley; Night Creature; The Stack-Up; Precipice; The Road of the Phoebe Snow; Feast of Ashes; Collage; Choral Dances; Liberian Suite; The Still Point; The Black Belt; Tell It Like It Is; Memoria; Fanga; Caverna Magica; Gazelle; The River; Speeds; Blood Memories; Blues Suite; Night Shade; Concerto in F; Echoes in Blue; Hobo Sapiens; Isba; Journey; Hermit Songs; Reflections in D; Ancestral Voices; Divining; Landscape; The Time Before the Time After (After the Time Before); Suite Otis; Songs Without Words; Blueshift; Pigs and Fishes; Seven Journeys; Light; Toccata; Shards; Dance for Six; Rainbow 'Round My Shoulder; Butterfly; Love Songs; Coverage II; Crossword; From the Mountains of Taubalu; Countdown; Vespers; Witness; Fever Swamp; Les Noces; Inside; Portrait of Billie; Phases; Cry; Gillespiana; Fontessa and Friends; Flowers; Bad Blood; How to Walk an Elephant; After Eden; Revelations; Later That Day; The Lark Ascending; Myth; To Jose Clemente Orozco; Survivors; For 'Bird' - With Love; Carmina Burana; Masekela Langage; Sonnets; Satyriade; Spectrum; Treading; Lullaby for a Jazz Baby; Facets; Opus McShann; Quintet
"Donetsk, Ukraine, U.S.S.R.",State Theater of Opera and Ballet,Blues Suite; Toccata; Metallics; Dance for Six; Congo Tango Palace; Reflections in D; Icarus; Masekela Langage; Revelations; Streams; The Road of the Phoebe Snow; Journey; Poeme
"Dover, DE, USA","Milford High School; Sudent Center Auditorium, Delaware State Colege",
"Dubrovnik, Socialist Federal Republic of Yugoslavia",Revscin Fortress; Fort Revelin Terrace,Blues Suite; Toccata; Metallics; Untitled New York; Rainbow 'Round My Shoulder; Congo Tango Palace; Credo; Reflections in D; Icarus; The Prodigal Prince; Revelations; Cry; Journey
"Dubuque, IA, USA","Terrence Donaghoe Hall, Clark College",The Road of the Phoebe Snow; Blues Suite; Revelations
"Durham, NC, USA","B.N. Duke Auditorium, North Carolina College at Durham; Duke University, Page Auditorium; Page Auditorium, Duke University; Memorial Hall, University of North Carolina at Chapel Hill",District Storyville; Suite Otis; Cry; Gillespiana; Light; Flowers; Bad Blood; Revelations; Butterfly; Streams; Myth; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Treading; Reflections in D; Vespers; Quintet; Divining
"Dusseldorf, Germany",Schauspielhaus,Blues Suite; Come and Get the Beauty of It Hot; Reflections in D; Revelations; The Road of the Phoebe Snow
"East Brunswick, NJ, USA",East Brunswick High School,
"East Hampton, NY, USA",Guild Hall; East Hampton High School Auditorium,Blues Suite; Rainbow 'Round My Shoulder; After Eden; Revelations; Cry; Night Creature
"East Lansing, MI, USA","Fairchild Auditorium, Michigan State University; University Auditorium, Michigan State University; Wharton Center for the Performing Arts, Michigan State University; Fairchild Theatre, Michigan State University; Cobb Great Hall, Wharton Center for the Performing Arts, Michigan State University; High School; Fairchild Theatre",Memoria; Portrait of Billie; Suite Otis; Phases; Cry; How Long Have It Been; Pigs and Fishes; Dance for Six; Gazelle; Rainbow 'Round My Shoulder; The Wedding; The Prodigal Prince; Revelations; Speeds; Choros; Streams; Blood Memories; The Lark Ascending; Night Creature; Blues Suite; Coverage II; Time Out of Mind; Crossword; For 'Bird' - With Love; The Stack-Up; Carmina Burana; Masekela Langage; Sonnets; Suspension; Hobo Sapiens; The Road of the Phoebe Snow; Nocturne; Treading; Hermit Songs; Countdown; Choral Dances; Divining; Fever Swamp; Landscape
"East Meadow, NY, USA","Lakeside Theater, Eisenhower Park",
"Eau Claire, WI, USA","Eau Claire University Arena, Wisconsin State University",Masekela Langage; Quintet; Revelations
"Edinburgh, Scotland",Church Hill Theatre,The Black Belt; Toccata; Metallics; Icarus; Credo; Reflections in D; Congo Tango Palace; Knoxville: Summer of 1915; The Prodigal Prince; Revelations; Quintet; Journey
"Ein Hashofet, Israel",,Blues Suite; Toccata; Reflections in D; The Prodigal Prince; Revelations
"Eindhoven, Netherlands",Stadsschouwburg,Blues Suite; The Black Belt; Toccata; Metallics; Credo; Reflections in D; Congo Tango Palace; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"El Cajon, CA, USA","College Gym, Grossmont College",Toccata; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations
"Elgin, IL, USA",Larkin High School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Elkins, WV, USA",Davis and Elkins College,
"Elmira, NY, USA",The Clemens Center; Samuel Clemens Center; Samuel L Clemens Performing Arts Center,Blues Suite; Treading; Hermit Songs; Flowers; Rainbow 'Round My Shoulder; Gazelle; Bad Blood; Tell It Like It Is; Revelations; Suite Otis; Cry; Streams; Fire Sermon; Night Creature; Love Songs
"Evansville, IN, USA",Vanderburgh Auditorium,Toccata; Icarus; Congo Tango Palace; Reflections in D; Revelations
"Everett, WA, USA",Everett Civic Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Fairfield, IA, USA","Fry-Thomas Fieldhouse, Parsons College; Frey-Thomas Memorial Fieldhouse, Parsons College Festival, Parsons College",Blues Suite; Toccata; Been Here and Gone; Congo Tango Palace; Reflections in D; Cinco Latinos; Revelations; Gillespiana
"Farmville, VA, USA","Jarman Hall, Longwood College",Blues Suite; Revelations; Quintet
"Faro, Portugal",Teatro Santo Antonio,Blues Suite; Toccata; Reflections in D; Revelations; Lament
"Flint, MI, USA",Whiting Auditorium,
"Florence, Italy",Teatro della Pergola,Blues Suite; Hermit Songs; Congo Tango Palace; Reflections in D; Rooms; Revelations; Gillespiana; The Road of the Phoebe Snow; Lament
"Fort Collins, CO, USA","Student Center Theater, Colorado State University Fort Collins; Colorado State University",Missa Brevis; Rainbow 'Round My Shoulder; Dance for Six; Kinetic Molpai; Revelations; Cry; The Lark Ascending
"Fort Wayne, IN, USA",Fort Wayne Community Concerts,Blues Suite; Toccata; Metallics; Reflections in D; Revelations
"Fort Worth, TX, USA",Tarrant County Convention Center Theater; Tarrant County Convention Center,Blues Suite; Treading; To Jose Clemente Orozco; The Stack-Up; Rainbow 'Round My Shoulder; Satyriade; Memoria; Concerto in F; Speeds; Suite Otis; Streams; Divining; Songs Without Words; Cry; Revelations
"Frankfort, KY, USA","Bell Health and Physical Education Building, Kentucky State College; Bradford Hall, Kentucky State University",Dance for Six; Blues Suite; Revelations
"Frankfurt, Germany",Jahrhunderthalle; Stadtische Bühnen Oper; Alte Oper,Treading; Come and Get the Beauty of It Hot; The Stack-Up; Rainbow 'Round My Shoulder; Night Shade; Vespers; Sarong Paramaribo; Suite Otis; Cry; Revelations; Fontessa and Friends; Caverna Magica; Divining; Night Creature; Love Songs
"Fredonia, NY, USA","Old Main Auditorium, State University at Fredonia, NY; Fredonia State College",Blues Suite; Toccata; Metallics; Icarus; Congo Tango Palace; Reflections in D; Revelations; Quintet; The Road of the Phoebe Snow; Journey
"Freeport, NY, USA",Freeport High School,Blues Suite; Reflections in D; Revelations
"Friedrichshafen, West Germany",Gref Zepplin Haus; Graf Zepplin Haus,Blues Suite; Treading; The Stack-Up; The Magic of Katherine Dunham; Concerto in F; Speeds; Cry; Streams; Revelations; Caverna Magica
"Fukuoka, Japan",Fukuoka Sun Palace Hall,Blues Suite; Treading; The Stack-Up; For 'Bird' - With Love; Revelations; Suite Otis; Cry; Isba
"Galveston, TX, USA",Moody Civic Center,Icarus; Blues Suite; Hermit Songs; Revelations
"Garden City, NY, USA","Macy's Special Events Center, Roosevelt Field",
"Geneseo, NY, USA",Wadsworth Auditorium,Blues Suite; Toccata; The Beloved; Revelations; Lament
"Geneva, Switzerland",Theatre de la Comedie; Grand Casino de Geneve; Grand Casino Genève,Portrait of Billie; Suite Otis; Cry; Caverna Magica; The Magic of Katherine Dunham; Bad Blood; Revelations; Speeds; The Lark Ascending; Night Creature; Blues Suite; The Stack-Up; For 'Bird' - With Love; Congo Tango Palace; The Road of the Phoebe Snow; Lament; Treading; Reflections in D; Divining
"Genoa, Italy",Teatro Margherita,Blues Suite; Congo Tango Palace; Reflections in D; Revelations; Lament
"Gent, Belgium",Opera House,District Storyville; Masekela Langage; Tilt; Revelations; Suite Otis; Cry; Butterfly; Love Songs
"George Town, Penang, Malaysia",Penang Chinese Girls' High School,The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Gettysburg, PA, USA","Student Union Building Auditorium, Gettysburg College",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Ghent, Belgium",Koninklijke Opera,Carmina Burana; The Mooche; Revelations; Cry; Streams; Night Creature; Love Songs
"Giza, Egypt",Sphinx Theater,The Wait; Blues Suite; Facets; Rainbow 'Round My Shoulder; Revelations; Cry; Streams; The Road of the Phoebe Snow; The Lark Ascending; Night Creature
"Glassboro, NJ, USA","Wilson Concert Hall, Glassboro State College",Nocturne; Missa Brevis; Rainbow 'Round My Shoulder; The Wedding; Revelations; Portrait of Billie; Fanga; The Lark Ascending; How Long Have It Been
"Gothenburg, Sweden",,Treading; The Stack-Up; Concerto in F; Revelations; Cry; Portrait of Billie; Night Creature
"Grambling, LA, USA","T.H. Harris Auditorium, Grambling State University",Blues Suite; After Eden; Night Creature; Revelations
"Grand Rapids, MI, USA",Godwin Heights High School Auditorium,Hermit Songs; Liberian Suite; Reflections in D; Hidden Rites; Revelations; Cry; Streams; Echoes in Blue; The Lark Ascending; Night Creature
"Graz, Austria",Opera House,Revelations; Suite Otis; Cry; Divining
"Great Neck, NY, USA",Great Neck North Senior High School; South High School,Blues Suite; Toccata; Metallics; The Beloved; Been Here and Gone; Reflections in D; Cinco Latinos; Revelations; Roots of the Blues
"Greensboro, NC, USA","Ayock Auditorium, University of North Carolina at Greensboro; Aycock Hall, University of North Carolina at Greensboro; Harrison Auditorium, A&T College of North Carolina; Aycock Auditorium, University of North Carolina at Greensboro",The Time Before the Time After (After the Time Before); Blues Suite; Treading; Metallics; Survivors; Dance for Six; Rainbow 'Round My Shoulder; Vespers; The Prodigal Prince; Revelations; Quintet; Cry; Divining; The Road of the Phoebe Snow; The Lark Ascending; Poeme; Night Creature; Love Songs
"Greenvale, NY, USA","Concert Theater, C.W. Post College; Concert Theater, CW Post College",Fontessa and Friends; Treading; The Stack-Up; Revelations; Suite Otis; Cry; Divining; Isba; Night Creature
"Greenwich, CT, USA",Greenwich High School,Blues Suite; Rainbow 'Round My Shoulder; Revelations; Cry; The Lark Ascending
"Grinnell, IA, USA","Roberts Theatre, Grinnell College",Dance for Six; Icarus; Revelations
"Groningen, Netherlands",Stadsschouwburg,Toccata; Metallics; Icarus; Congo Tango Palace; Reflections in D; Revelations; The Road of the Phoebe Snow; Journey; Lament
"Hackensack, NJ, USA","Orrie de Nooyer Auditorium, Bergen County Vocational - Technical High School",Blues Suite; Feast of Ashes; The Wedding; Revelations; Choros; Cry; Streams; Love Songs
"Halifax, Nova Scotia, Canada","Dalhousie Arts Center, Dalhousie University",Blues Suite; The Stack-Up; Shards; From the Mountains of Taubalu; Revelations; Suite Otis; Cry; Divining
"Hamburg, Germany",Deutschen Schauspielhaus Hamburg,Blues Suite; Hermit Songs; Toccata; Come and Get the Beauty of It Hot; Congo Tango Palace; Reflections in D; Rooms; Revelations; Gillespiana; The Road of the Phoebe Snow
"Hamilton, Bermuda",City Hall Theatre,Blues Suite; Dance for Six; Icarus; Revelations; Cry
"Hamilton, NY, USA","Dana Art Center, Colgate University",Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Hammamet, Tunisia","Theatre de plein air, Centre Culturel International",Revelations; Streams; The Prodigal Prince
"Hampton, VA, USA","Ogden Hall, Hampton University",Dance for Six; Blues Suite; Revelations
"Hannover, Germany",Theater am AEGI Aegidientorplatz,Blues Suite; Reflections in D; Revelations; Lament
"Hanover, NH, USA","Spaulding Auditorium, Dartmouth College; Hopkins Center, Dartmouth College",Blues Suite; The Black Belt; Revelations
"Harrisonburg, VA, USA","Wilson Auditorium, Madison College",Toccata; Metallics; Icarus; Revelations; Journey; Poeme
"Hartford, CT, USA",Bushnell Memorial Hall; Bushnell Memorial Auditorium; Bushnell Memorial; Hartford Jewish Community Center; Bushnell Auditorium,The Time Before the Time After (After the Time Before); Suite Otis; Cry; Fontessa and Friends; Caverna Magica; Pigs and Fishes; Toccata; Flowers; Rainbow 'Round My Shoulder; Gazelle; Bad Blood; Revelations; Speeds; Streams; Butterfly; The Lark Ascending; Myth; Night Creature; Mary Lou's Mass; Blues Suite; Time Out of Mind; Survivors; Congo Tango Palace; The Stack-Up; Masekela Langage; Sonnets; Spectrum; Concerto in F; Hobo Sapiens; Journey; Treading; Hermit Songs; Reflections in D; Vespers; Divining; Landscape
"Hayward, CA, USA",Chabot Community College Auditorium,Threnody; Toccata; Congo Tango Palace; Reflections in D; The Road of the Phoebe Snow
"Helsinki, Finland",Kultuuritalo; Kulturhuset; Svenska Teatern,The Time Before the Time After (After the Time Before); Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Gazelle; Sunrise... Sunset; Revelations; Suite Otis; Cry; Streams; Butterfly; The Road of the Phoebe Snow; Night Creature; Love Songs
"Hempstead, NY, USA",Hofstra Playhouse; Hofstra College,Light; Blues Suite; Hermit Songs; Reflections in D; Revelations; Gillespiana
"Heraklion, Greece",N. Kazantzakis Theater,Blues Suite; Treading; Night Creature; The Stack-Up; Satyriade; Seven Journeys; Memoria; Concerto in F; Revelations; Cry; Streams; Fontessa and Friends; Fever Swamp; Pigs and Fishes
"Hershey, PA, USA",Hershey Theatre,Blues Suite; Treading; Sonnets; Concerto in F; Phases; Cry; Streams; Revelations; The Lark Ascending; Night Creature; Pigs and Fishes; Landscape
"Highland Park, IL, USA",Highland Park High School,Blues Suite; Toccata; Icarus; Revelations; Journey
"Hiroshima, Japan",Hiroshima Kosei Nenkin Kaikan; Hiroshima Yubin Chokin Hall,Blues Suite; The Stack-Up; For 'Bird' - With Love; Revelations; Cry; Isba
"Hoffman Estates, IL, USA",Poplar Creek Music Theatre,Memoria; Concerto in F; Revelations
"Holmdel, NJ, USA",Garden State Arts Center,Blues Suite; Flowers; Choral Dances; Dance for Six; Revelations; Cry
Hong Kong,"Concert Hall, City Hall; Hong Kong City Hall Concert Hall; City Hall; Hong Kong Coliseum",Memoria; Phases; Suite Otis; Cry; Gillespiana; Fontessa and Friends; Pigs and Fishes; The Wait; Rainbow 'Round My Shoulder; Gazelle; Revelations; Speeds; Streams; Night Creature; Love Songs; Blues Suite; Letter to a Lady; The Stack-Up; Been Here and Gone; Sonnets; Mountainway Chant; Spectrum; Concerto in F; The Road of the Phoebe Snow; Treading; Hermit Songs; Facets; The Beloved; Divining; Roots of the Blues
"Honolulu, HI, USA","Waikiki Shell, Kapiolani Park; Neal S. Blaisdell Concert Hall; Blaisdell Center",Inside; Phases; Suite Otis; Cry; Fontessa and Friends; Pigs and Fishes; The River; Revelations; Speeds; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Night Shade; Concerto in F; Isba; Treading; Divining; Fever Swamp
"Houston, TX, USA",Jones Hall; Jesse H. Jones Hall; Jesse H. Jones Hall for the Performing Arts; Music Hall,The Time Before the Time After (After the Time Before); The Still Point; Memoria; Portrait of Billie; Suite Otis; Phases; Fanga; Fontessa and Friends; Songs Without Words; Caverna Magica; Cry; Seven Journeys; Toccata; Flowers; Dance for Six; Gazelle; Rainbow 'Round My Shoulder; Bad Blood; The River; Revelations; Speeds; Streams; Blood Memories; Butterfly; The Lark Ascending; Night Creature; Love Songs; Blues Suite; Time Out of Mind; Survivors; Places; Crossword; Night Shade; Carmina Burana; For 'Bird' - With Love; Congo Tango Palace; Masekela Langage; The Stack-Up; Suspension; Concerto in F; Hobo Sapiens; The Road of the Phoebe Snow; Isba; Treading; Hermit Songs; Collage; Choral Dances; Facets; Vespers; Divining; Caravan; Landscape
"Huntingdon, PA, USA",Juniata College,
"Indiana, PA, USA","Fisher Auditorium, Indiana University of Pennsylvania",Blues Suite; Toccata; Icarus; Revelations; Journey
"Indianapolis, IN, USA","Clowes Hall, Butler University",The Time Before the Time After (After the Time Before); Blues Suite; Night Creature; Rainbow 'Round My Shoulder; Gazelle; Revelations; Suite Otis; Cry; Hobo Sapiens; The Lark Ascending; Caravan
"Institute, WV, USA","College Auditorium, West Virginia University Institute of Technology",Congo Tango Palace; Reflections in D; Revelations; Quintet
"Iowa City, IA, USA","Hancher Auditorium, Univesrity of Iowa; Hancher Auditorium, The University of Iowa; McKinley Junior High; University of Iowa; Hancher Auditorium, University of Iowa",The Time Before the Time After (After the Time Before); Suite Otis; Cry; Caverna Magica; Toccata; Flowers; Dance for Six; Rainbow 'Round My Shoulder; Gazelle; Bad Blood; Revelations; Choros; Butterfly; Night Creature; Love Songs; Mary Lou's Mass; Blues Suite; The Stack-Up; For 'Bird' - With Love; Congo Tango Palace; Masekela Langage; Reflections in D; Divining
"Ipoh, Malaysia",Lido Theatre,The Beloved; Been Here and Gone; Revelations; Gillespiana; Trane' in Three; Roots of the Blues
"Irvine, CA, USA",University of California Irvine,Blues Suite; Metallics; The Prodigal Prince; Revelations; The Road of the Phoebe Snow
"Istanbul, Turkey",Open Air theatre,Blues Suite; Facets; Rainbow 'Round My Shoulder; Gazelle; Revelations; Cry; Streams; Night Creature; Love Songs
"Jackson, MI, USA",Parkside High School Fieldhouse; Jackson High School Auditorium,Blues Suite; Hermit Songs; Dance for Six; Revelations; Streams; Myth
"Jackson, MS, USA",Jackson State College Dansby Hall Auditorium,Light; Blues Suite; Reflections in D; Revelations; Gillespiana
"Jakarta, Indonesia",Gedung Olahraga (sport center),Hermit Songs; Letter to a Lady; Creation of the World; The Beloved; Been Here and Gone; Cinco Latinos; Revelations; Gillespiana; Roots of the Blues
"Jamestown, NY, USA",Jamestown Community College,Toccata; Icarus; Revelations; Quintet; Journey
"Jerusalem, Israel",Binyanei Ha'ooma; Bin Yane Haooma; Sultan's Pool,Blues Suite; Toccata; The Stack-Up; Reflections in D; The Prodigal Prince; Revelations; Suite Otis; Cry; Divining; Love Songs
"Johnson, VT, USA","Dibden Auditorium, Johnson State University",The Lark Ascending; The Wedding; Cry; Revelations
"Kalamazoo, MI, USA","Miller Auditorium, Western Michigan University",Rainbow 'Round My Shoulder; Blues Suite; Revelations; Cry
"Kampala, Uganda",Uganda National Culture Centre,Blues Suite; Toccata; Metallics; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Kansas City, KS, USA",Music Hall,Liberian Suite; Hidden Rites; After Eden; Revelations; Cry; The Lark Ascending; Night Creature; Love Songs
"Kansas City, MO, USA","The Lyric Theatre; Little Theater, General Education Building, Johnson County Community College; White Recital Hall, Center for the Performing Arts, University of Missouri-Kansas; Westport High School; William Jewell College, Capri Theater; Capri Theater; Folly Theater; Lyric Theater; Starlight Theatre; Music Hall",The Still Point; Tell It Like It Is; Memoria; Portrait of Billie; Phases; Suite Otis; Songs Without Words; Fontessa and Friends; Cry; Caverna Magica; Flowers; Shards; Dance for Six; Rainbow 'Round My Shoulder; Bad Blood; The River; How to Walk an Elephant; Revelations; Speeds; Choros; Streams; Anjour: Ruminations on Dudley; The Lark Ascending; Myth; Night Creature; Love Songs; Mary Lou's Mass; Blues Suite; Time Out of Mind; Survivors; For 'Bird' - With Love; The Stack-Up; Masekela Langage; Suspension; Concerto in F; Spectrum; Isba; Treading; Hermit Songs; Collage; Choral Dances; Vespers; Opus McShann; Witness; Divining
"Kaohsiung, Taiwan",Kaohsiung Municipal Stadium,The Beloved; Been Here and Gone; Revelations; Gillespiana; Trane' in Three; Roots of the Blues
"Karlovci, Socialist Federal Republic of Yugoslavia",,Toccata; Metallics; The Beloved; Congo Tango Palace; Reflections in D
"Kawasaki, Kanagawa, Japan",Kawasaki Shimin Kaikan,Letter to a Lady; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Kent, CT, USA",Miller Auditorium,Toccata; Dance for Six; Icarus; Revelations; Journey
"Kent, OH, USA",Kent State University Auditorium,Light; Blues Suite; Reflections in D; Revelations; Gillespiana
"Kiev, Ukraine, U.S.S.R.",The New Palace of Culture,Blues Suite; Toccata; Metallics; Icarus; Congo Tango Palace; Reflections in D; Dance for Six; The Prodigal Prince; Revelations; Streams; The Road of the Phoebe Snow; Journey; Poeme
"Kingston, RI, USA","Edwards Auditorium, The University of Rhode Island",Toccata; Dance for Six; Icarus; Revelations; Journey
"Kinshasa, Democratic Republic of Congo",Salle des Spectacles du Zoo,Blues Suite; Revelations; The Prodigal Prince
"Kirksville, MO, USA","College Auditorium, Northeast Missouri State College",Blues Suite; Revelations; Streams
"Kobe, Japan",Kobe Bunka Hall,Treading; Facets; The Stack-Up; Inside; Memoria; Revelations; Suite Otis; The Lark Ascending; Cry; Isba; The Road of the Phoebe Snow; Love Songs
"Kuala Lumpur, Malaysia",Town Hall,The Beloved; Been Here and Gone; Mountainway Chant; Revelations; Gillespiana; Roots of the Blues
"Kumasi, Ghana",Prempeh Assembly Hall,
"Kutztown, PA, USA","Schaeffer Auditorium, Kutztown State College",Congo Tango Palace; Revelations; Blues Suite
"Kyoto, Japan",Kyoto Kaiken; Kyoto Kaikan Dai-Ichi Hall,Suite Otis; Songs Without Words; Gillespiana; Fontessa and Friends; Pigs and Fishes; The Wait; After Eden; Revelations; Streams; Night Creature; Love Songs; Blues Suite; Letter to a Lady; The Stack-Up; Been Here and Gone; Masekela Langage; Mountainway Chant; Treading; Facets; Roots of the Blues; Fever Swamp
"La Crosse, WI, USA","Coleman Technical Institute Auditorium, Wisconsin State University",Blues Suite; Revelations
"LaSalle, IL, USA",Mathieson School Auditorium,Blues Suite; Toccata; Congo Tango Palace; Reflections in D; Revelations
"Lafayette, IN, USA","Purdue Memorial Union, Purdue University; Elliot Hall, Purdue University",Blues Suite; Toccata; Clear Songs After Rain; Icarus; Journey; The Prodigal Prince; Revelations; Cry; Streams; The Lark Ascending; Mary Lou's Mass
"Lancaster, PA, USA",Lancaster High School Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
"Lausanne, Switzerland",Au Theatre de Beaulieu,Treading; Vespers; Revelations; Suite Otis; Cry; Divining; Night Creature
"Lawrence, KS, USA","Hoch Auditorium, University of Kansas",Blues Suite; Revelations; Suite Otis; Cry; Fontessa and Friends; Divining; Fever Swamp; Pigs and Fishes
"Lee, MA, USA",Jacob's Pillow,Blues Suite; To Jose Clemente Orozco; Cinco Latinos; Revelations; Gillespiana; Roots of the Blues
"Leiden, Netherlands",Stadsgehoorzaal,Blues Suite; Toccata; Metallics; Reflections in D; Revelations; The Road of the Phoebe Snow
"Leiria, Portugal",Teatro Jose Lucio Da Silva,
"Leningrad, Russia, U.S.S.R.",The Vyborgskiy House of Culture,Blues Suite; Toccata; Metallics; Dance for Six; Icarus; Reflections in D; Masekela Langage; The Prodigal Prince; Revelations; Streams; The Road of the Phoebe Snow; Journey; Poeme
"Leverkusen, West Germany",Forum; Beyer Forum,Treading; Night Creature; The Magic of Katherine Dunham; For 'Bird' - With Love; Concerto in F; Suite Otis; Cry; Revelations; Divining; Fever Swamp; Pigs and Fishes
"Lewisburg, PA, USA","University Theater, Bucknell University; Bucknell University, The Sigmund and Claire Weis Center for the Performing Arts",Blues Suite; Revelations; Suite Otis; Love Songs
"Lewiston, ME, USA","Alumni Gymnasium, Bates College",
"Lewiston, NY, USA",Artpark,The Time Before the Time After (After the Time Before); Memoria; Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Pigs and Fishes; Toccata; Icarus; Rainbow 'Round My Shoulder; Gazelle; Revelations; Butterfly; Streams; The Lark Ascending; Night Creature; Love Songs; Blues Suite; The Stack-Up; Congo Tango Palace; Night Shade; Masekela Langage; Hobo Sapiens; Isba; The Road of the Phoebe Snow; Precipice; Treading; Hermit Songs; Fever Swamp; Landscape
"Liberty, MO, USA","Gano Hall, William Jewell College; John Gano Memorial Hall, William Jewell College",Blues Suite; Toccata; The Beloved; Icarus; Congo Tango Palace; Reflections in D; Revelations
"Lille, France",Le Colise Theater,Blues Suite; Treading; Revelations; Suite Otis; Cry; Divining; Caverna Magica
"Lima, Peru",Teatro Municipal,Facets; Rainbow 'Round My Shoulder; Revelations; Suite Otis; Cry; The Lark Ascending; Night Creature
"Lincoln, NE, USA","Kimball Recital Hall, University of Nebraska-Lincoln; Kimball Recital Hall; Kimball Hall, University of Nebraska; Kimbal Recital Hall, University of Nebraska-Lincoln",Memoria; Suite Otis; Songs Without Words; Cry; Fontessa and Friends; Pigs and Fishes; Rainbow 'Round My Shoulder; The River; How to Walk an Elephant; After Eden; Revelations; Speeds; Streams; Night Creature; Love Songs; Blues Suite; The Stack-Up; Night Shade; Spectrum; Concerto in F; Isba; Treading; Divining; Fever Swamp
"Lipari, Italy",Theatro al Castello,Treading; Revelations; Suite Otis; Cry; Divining
"Lisbon, Portugal",Tivoli Theatre,Blues Suite; Toccata; The Beloved; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations; The Road of the Phoebe Snow; Lament
"Little Rock, AR, USA",Robinson Center Music Hall; Robinson Auditorium,Treading; The Stack-Up; Bad Blood; Revelations; Suite Otis; Cry; Divining; The Lark Ascending; Night Creature; Love Songs
"Livorno, Italy",Villa Fabbricotti open air theater,Icarus; Congo Tango Palace; The Prodigal Prince; Revelations; Journey
"Ljubljana, Socialist Federal Republic of Yugoslavia",Poletno Gledalisce Križanke (Križanke Summer Theater); Krizanke Hall,Toccata; Metallics; The Beloved; Icarus; Congo Tango Palace; Reflections in D; The Prodigal Prince; Revelations; Journey
"London, England",Sadler's Wells Theatre; Saville Theatre; Shaftesbury Theatre; Royal Opera House; Wembly Arena,Variegations; Adagio for a Dead Soldier; Metallics; Child of the Earth; Cry; The Cageling; Gillespiana; Paz; How Long Have It Been; Toccata; Flowers; Dance for Six; Icarus; Rainbow 'Round My Shoulder; Knoxville: Summer of 1915; Rooms; The Prodigal Prince; Hidden Rites; Revelations; Choros; Streams; The Lark Ascending; Poeme; Myth; Mary Lou's Mass; Love Songs; Blues Suite; To Jose Clemente Orozco; Clear Songs After Rain; Been Here and Gone; Congo Tango Palace; Masekela Langage; Concerto in F; Nubian Lady; The Road of the Phoebe Snow; Journey; Lament; Hermit Songs; Choral Dances; The Beloved; Reflections in D; Kinetic Molpai; Gymnopedies
"Long Beach, CA, USA",Millikan High School Auditorium,Blues Suite; Toccata; Icarus; Revelations; Journey
